"TOA5","6550","CR6","6550","CR6.Std.13.01","CPU:LabFisAtm2025_v1.CR6","55291","Sonic"
"TIMESTAMP","RECORD","u","v","w","Ts"
"TS","RN","m/s","m/s","m/s","C"
"","","Smp","Smp","Smp","Smp"
"2025-03-27 20:06:43.25",143,0.006586075,0.005056381,0.008983612,22.37364
"2025-03-27 20:06:43.3",144,0.007673264,0.00684166,0.01202774,22.34786
"2025-03-27 20:06:43.35",145,0.01524734,0.00825119,0.01640129,22.3582
"2025-03-27 20:06:43.4",146,0.009248734,0.006467819,0.01717186,22.3756
"2025-03-27 20:06:43.45",147,0.009260178,0.006467819,0.009256363,22.32826
"2025-03-27 20:06:43.5",148,0.007925034,0.006938934,0.008453369,22.37219
"2025-03-27 20:06:43.55",149,0.005659103,0.006000519,0.01046371,22.34974
"2025-03-27 20:06:43.6",150,0.005170822,0.005729675,0.01111794,22.34842
"2025-03-27 20:06:43.65",151,0.01164436,0.004720688,0.01361465,22.37237
"2025-03-27 20:06:43.7",152,0.005044937,0.006994247,0.01013565,22.37269
"2025-03-27 20:06:43.75",153,0.007328033,0.003978729,0.01080894,22.34737
"2025-03-27 20:06:43.8",154,0.009830475,0.004350662,0.0102272,22.37217
"2025-03-27 20:06:43.85",155,0.007541656,0.004255295,0.01119995,22.3708
"2025-03-27 20:06:43.9",156,0.006801605,0.004188538,0.01146507,22.32547
"2025-03-27 20:06:43.95",157,0.009599686,0.00699234,0.01675987,22.34936
"2025-03-27 20:06:44",158,0.006546021,0.004056931,0.01446915,22.34615
"2025-03-27 20:06:44.05",159,0.006645203,0.006397247,0.0147686,22.37219
"2025-03-27 20:06:44.1",160,0.007673264,0.006639481,0.0120945,22.35381
"2025-03-27 20:06:44.15",161,0.009105682,0.00702095,0.01125145,22.35503
"2025-03-27 20:06:44.2",162,0.01093102,0.007131577,0.007619858,22.33259
"2025-03-27 20:06:44.25",163,0.01012802,0.006919861,0.009529114,22.38139
"2025-03-27 20:06:44.3",164,0.007108688,0.007356644,0.01013565,22.35242
"2025-03-27 20:06:44.35",165,0.009563446,0.006652832,0.0104351,22.35161
"2025-03-27 20:06:44.4",166,0.008932114,0.005977631,0.01288795,22.34863
"2025-03-27 20:06:44.45",167,0.01105309,0.007486343,0.00837326,22.37342
"2025-03-27 20:06:44.5",168,0.006893158,0.006893158,0.006692886,22.34828
