"TOA5","6550","CR6","6550","CR6.Std.13.01","CPU:LabFisAtm2025_v1.CR6","55291","Slow"
"TIMESTAMP","RECORD","AirTC1","RH1","AirTC2","RH2","BP_mbar"
"TS","RN","Deg C","%","Deg C","%","hPa"
"","","Smp","Smp","Smp","Smp","Smp"
"2025-03-27 20:08:04",87,21.91832,42.61117,21.60803,42.46606,1011.328
"2025-03-27 20:08:05",88,21.86406,42.55635,21.57042,42.43918,1011.314
"2025-03-27 20:08:06",89,21.85445,42.57092,21.64122,42.49215,1011.318
"2025-03-27 20:08:07",90,21.82935,42.56012,21.63212,42.48956,1011.307
"2025-03-27 20:08:08",91,21.87655,42.55686,21.64739,42.5051,1011.327
"2025-03-27 20:08:09",92,21.86395,42.53304,21.59949,42.54119,1011.336
"2025-03-27 20:08:10",93,21.82799,42.55069,21.60693,42.47809,1011.33
"2025-03-27 20:08:11",94,21.83823,42.56582,21.632,42.55569,1011.323
"2025-03-27 20:08:12",95,21.85899,42.55241,21.62768,42.52435,1011.331
"2025-03-27 20:08:13",96,21.83443,42.57591,21.61087,42.56749,1011.32
"2025-03-27 20:08:14",97,21.83066,42.51882,21.60518,42.56322,1011.325
"2025-03-27 20:08:15",98,21.83836,42.51965,21.63779,42.55206,1011.334
"2025-03-27 20:08:16",99,21.81214,42.50605,21.60472,42.60755,1011.347
"2025-03-27 20:08:17",100,21.78695,42.51172,21.66743,42.61724,1011.347
"2025-03-27 20:08:18",101,21.82267,42.51735,21.65021,42.61847,1011.345
"2025-03-27 20:08:19",102,21.84044,42.56124,21.66025,42.63754,1011.34
"2025-03-27 20:08:20",103,21.83649,42.57706,21.6489,42.59399,1011.353
"2025-03-27 20:08:21",104,21.86016,42.59163,21.63684,42.62361,1011.342
"2025-03-27 20:08:22",105,21.86627,42.55263,21.65233,42.60938,1011.358
"2025-03-27 20:08:23",106,21.79285,42.49058,21.68236,42.60057,1011.347
"2025-03-27 20:08:24",107,21.80048,42.51807,21.65992,42.61036,1011.367
"2025-03-27 20:08:25",108,21.79016,42.56489,21.71916,42.61128,1011.367
"2025-03-27 20:08:26",109,21.80052,42.51046,21.70129,42.6099,1011.373
"2025-03-27 20:08:27",110,21.80985,42.58401,21.65607,42.6526,1011.364
"2025-03-27 20:08:28",111,21.80942,42.56867,21.67957,42.58467,1011.374
"2025-03-27 20:08:29",112,21.83665,42.61047,21.6326,42.60596,1011.362
"2025-03-27 20:08:30",113,21.84846,42.61002,21.64648,42.63507,1011.381
"2025-03-27 20:08:31",114,21.85593,42.57127,21.67315,42.60492,1011.368
"2025-03-27 20:08:32",115,21.80577,42.60598,21.63189,42.54441,1011.374
"2025-03-27 20:08:33",116,21.85018,42.59503,21.66413,42.59219,1011.38
"2025-03-27 20:08:34",117,21.81593,42.61505,21.66915,42.607,1011.375
"2025-03-27 20:08:35",118,21.76026,42.60915,21.69139,42.64579,1011.363
"2025-03-27 20:08:36",119,21.83554,42.65351,21.72025,42.63829,1011.373
"2025-03-27 20:08:37",120,21.84052,42.63656,21.73027,42.64406,1011.364
"2025-03-27 20:08:38",121,21.8601,42.59615,21.6654,42.72423,1011.383
"2025-03-27 20:08:39",122,21.87828,42.61089,21.68023,42.86788,1011.374
"2025-03-27 20:08:40",123,21.81742,42.59271,21.63867,42.62126,1011.373
"2025-03-27 20:08:41",124,21.81156,42.65673,21.68439,42.56501,1011.38
"2025-03-27 20:08:42",125,21.81544,42.61654,21.79511,42.61947,1011.377
"2025-03-27 20:08:43",126,21.7963,42.68387,21.71845,42.58828,1011.368
"2025-03-27 20:08:44",127,21.8008,42.57172,21.74169,42.61234,1011.374
"2025-03-27 20:08:45",128,21.83028,42.59695,21.74817,42.64335,1011.364
"2025-03-27 20:08:46",129,21.85036,42.8117,21.75595,42.68695,1011.391
"2025-03-27 20:08:47",130,21.81765,42.69698,21.71213,42.61378,1011.385
"2025-03-27 20:08:48",131,21.81942,42.67323,21.66276,42.56562,1011.387
"2025-03-27 20:08:49",132,21.82727,42.63987,21.74406,42.60682,1011.386
"2025-03-27 20:08:50",133,21.98338,42.62329,21.69479,42.64749,1011.384
"2025-03-27 20:08:51",134,21.84245,42.67484,21.6839,42.70456,1011.372
"2025-03-27 20:08:52",135,21.84986,42.63296,21.70866,42.61598,1011.395
"2025-03-27 20:08:53",136,21.80251,42.61634,21.66669,42.61707,1011.375
"2025-03-27 20:08:54",137,21.87798,42.64576,21.75908,42.64125,1011.388
"2025-03-27 20:08:55",138,21.8719,42.68076,21.7612,42.65974,1011.385
"2025-03-27 20:08:56",139,21.81057,42.68006,21.79236,42.63786,1011.376
"2025-03-27 20:08:57",140,21.89053,42.70073,21.77787,42.67653,1011.432
"2025-03-27 20:08:58",141,21.82434,42.68616,21.72432,42.62178,1011.375
"2025-03-27 20:08:59",142,21.84771,42.58202,21.73864,42.56822,1011.364
"2025-03-27 20:09:00",143,21.77169,42.58988,21.68095,42.7334,1011.367
"2025-03-27 20:09:01",144,21.82766,42.65691,21.63088,42.6933,1011.366
"2025-03-27 20:09:02",145,21.79012,42.57795,21.64687,42.64775,1011.375
"2025-03-27 20:09:03",146,21.85368,42.54729,21.78762,42.66153,1011.376
"2025-03-27 20:09:04",147,21.84942,42.53931,21.72046,42.6902,1011.366
"2025-03-27 20:09:05",148,21.76404,42.83359,21.71952,42.6807,1011.422
"2025-03-27 20:09:06",149,21.76443,42.67161,21.70288,42.65267,1011.364
"2025-03-27 20:09:07",150,21.94522,42.63411,21.65014,42.61054,1011.351
"2025-03-27 20:09:08",151,21.84234,42.62696,21.72007,42.61512,1011.414
"2025-03-27 20:09:09",152,21.88206,42.56337,21.71273,42.58175,1011.371
"2025-03-27 20:09:10",153,21.88647,42.57323,21.6756,42.63212,1011.374
