Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
26.86,1.09,30.39,24.48
26.87,1.07,30.36,24.6
26.87,1.05,30.18,24.66
26.91,0.99,29.98,24.75
26.9,1.01,30.03,24.67
26.88,1.03,30.61,24.56
26.87,1.08,30.97,24.6
26.85,1.08,30.9,24.67
26.76,1.05,30.34,24.63
26.7,1.0,30.15,24.52
26.67,0.96,29.98,24.59
26.63,0.88,29.64,24.5
26.56,0.79,29.03,24.65
26.52,0.7,28.74,24.63
26.46,0.63,28.33,24.67
26.36,0.59,27.98,24.54
26.25,0.54,27.7,24.51
26.22,0.53,27.59,24.5
26.16,0.48,27.35,24.56
26.14,0.46,27.21,24.31
26.16,0.43,27.18,24.68
26.22,0.48,27.73,24.65
26.22,0.5,27.81,24.54
26.24,0.55,28.22,24.66
26.25,0.57,28.2,24.65
26.21,0.58,28.09,24.49
26.21,0.55,27.87,24.56
26.18,0.52,27.71,24.57
26.19,0.52,27.85,24.38
26.17,0.5,27.73,24.5
26.07,0.45,27.46,24.53
26.01,0.41,27.25,24.43
26.0,0.41,27.24,24.51
26.02,0.44,27.33,24.43
26.04,0.47,27.42,24.45
26.04,0.46,27.3,24.33
26.06,0.44,27.23,24.55
26.09,0.5,27.79,24.48
26.16,0.52,27.68,24.35
26.17,0.55,27.63,24.56
26.17,0.52,27.54,24.56
26.19,0.55,27.89,24.49
26.2,0.57,27.83,24.53
26.12,0.51,27.58,24.41
26.09,0.48,27.42,24.53
26.07,0.51,27.68,24.51
26.09,0.51,27.59,24.56
26.11,0.53,27.61,24.48
26.03,0.5,27.45,24.53
25.98,0.49,27.34,24.42
25.97,0.5,27.31,24.38
25.97,0.51,27.55,24.45
25.98,0.52,27.44,24.47
25.98,0.51,27.29,24.47
26.01,0.55,27.51,24.47
26.0,0.52,27.34,24.41
25.97,0.48,27.06,24.43
25.94,0.47,27.17,24.45
25.93,0.46,27.23,24.38
25.89,0.42,27.05,24.36
25.91,0.44,26.95,24.35
25.94,0.47,27.02,24.34
25.96,0.47,27.06,24.44
26.01,0.51,27.28,24.45
26.06,0.54,27.52,24.39
26.09,0.54,27.52,24.48
26.09,0.53,27.55,24.47
26.07,0.52,27.47,24.19
26.06,0.51,27.44,24.29
26.09,0.51,27.36,24.5
26.07,0.51,27.48,24.4
26.14,0.52,27.7,24.6
26.17,0.55,27.82,24.53
26.17,0.54,27.68,24.52
26.23,0.52,27.79,24.6
26.25,0.51,27.63,24.5
26.24,0.49,27.52,24.54
26.23,0.47,27.3,24.46
26.21,0.47,27.32,24.52
26.1,0.44,27.25,24.45
26.09,0.45,27.25,24.56
25.98,0.44,27.03,24.47
25.94,0.44,26.99,24.39
25.97,0.47,27.09,24.32
25.97,0.44,27.0,24.42
25.93,0.41,26.86,24.43
25.94,0.44,26.95,24.37
25.97,0.44,27.03,24.46
25.92,0.42,27.09,24.41
25.96,0.5,27.74,24.41
25.97,0.53,27.68,24.26
26.06,0.59,27.95,24.5
26.07,0.58,27.93,24.48
26.06,0.58,27.93,24.5
26.05,0.57,27.77,24.5
26.05,0.56,27.74,24.55
26.01,0.51,27.51,24.56
25.94,0.48,27.41,24.56
25.9,0.47,27.37,24.48
25.87,0.49,27.27,24.53
25.83,0.46,27.14,24.42
25.77,0.44,26.98,24.37
25.73,0.44,26.93,24.47
25.7,0.42,26.86,24.49
25.73,0.41,26.9,24.48
25.76,0.42,26.93,24.54
25.8,0.42,26.92,24.58
25.79,0.41,26.77,24.57
25.79,0.42,26.79,24.49
25.82,0.45,27.13,24.48
25.8,0.43,27.04,24.53
25.82,0.41,26.9,24.58
25.77,0.4,26.87,24.5
25.78,0.41,26.86,24.41
