Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
25.44,0.54,31.42,24.18
25.42,0.51,29.47,24.14
25.39,0.45,28.34,24.23
25.36,0.38,27.62,24.17
25.34,0.35,27.11,24.18
25.29,0.37,28.88,24.11
25.28,0.36,28.33,24.04
25.26,0.34,27.39,24.11
25.29,0.32,26.97,24.17
25.28,0.32,26.69,24.17
25.29,0.32,26.41,24.1
25.34,0.3,26.6,24.22
25.33,0.29,26.45,24.27
25.27,0.29,26.48,24.21
25.27,0.29,26.37,24.13
25.21,0.29,26.79,24.18
25.19,0.27,26.95,24.12
25.19,0.27,26.49,24.09
25.15,0.27,26.33,24.11
25.11,0.25,26.14,24.07
25.07,0.24,26.11,24.02
25.05,0.22,26.11,23.95
25.03,0.22,26.01,23.96
25.02,0.21,25.96,23.95
25.01,0.2,25.98,24.01
25.1,0.2,26.08,24.06
25.1,0.21,26.08,24.11
25.09,0.2,26.03,24.05
25.12,0.19,25.99,24.02
25.13,0.18,25.93,24.08
25.15,0.18,26.0,24.05
25.17,0.17,26.05,24.15
25.18,0.17,26.06,24.19
25.2,0.17,26.11,24.15
25.2,0.17,26.0,24.09
25.21,0.17,26.01,24.1
25.26,0.17,26.15,24.12
25.28,0.19,26.08,24.07
25.3,0.2,26.05,24.08
25.33,0.21,26.07,24.08
25.32,0.21,26.1,24.1
25.3,0.21,26.08,24.05
25.3,0.21,26.13,24.13
25.27,0.22,26.05,24.06
25.27,0.22,26.09,24.02
25.29,0.22,26.07,24.11
25.27,0.22,26.0,24.08
25.28,0.24,26.21,24.02
25.33,0.26,26.16,24.09
25.33,0.29,27.99,24.14
25.37,0.35,31.38,24.2
25.36,0.41,32.67,24.18
25.38,0.5,34.17,24.19
25.39,0.55,31.99,24.07
25.37,0.54,30.93,24.14
25.37,0.51,29.97,24.1
25.38,0.5,32.08,24.14
25.47,0.66,37.83,24.22
25.48,0.7,34.47,24.23
25.48,0.68,32.49,24.19
25.46,0.64,30.9,24.21
25.43,0.58,29.72,24.2
25.39,0.55,31.6,24.08
25.39,0.6,33.19,24.14
25.41,0.69,34.47,24.15
25.4,0.67,32.18,24.22
25.39,0.64,31.47,24.14
25.38,0.59,30.31,24.19
25.38,0.55,30.0,24.19
25.37,0.58,31.13,24.2
25.37,0.64,31.76,24.17
25.38,0.61,30.97,24.18
25.41,0.63,30.32,24.08
25.44,0.62,31.75,24.2
25.42,0.6,30.11,24.17
25.44,0.6,30.82,24.19
25.45,0.58,29.63,24.2
25.43,0.52,28.63,24.2
25.41,0.48,27.91,24.15
25.4,0.44,27.54,24.21
25.42,0.41,28.61,24.2
25.43,0.41,28.19,24.2
25.42,0.37,27.58,24.25
25.43,0.35,27.4,24.12
25.44,0.33,27.31,24.27
25.44,0.31,28.01,24.26
25.48,0.36,30.05,24.24
25.5,0.44,30.69,24.28
25.54,0.56,30.97,24.29
25.6,0.62,30.49,24.27
25.59,0.68,30.93,24.23
25.6,0.72,32.35,24.15
25.6,0.7,31.08,24.2
25.64,0.74,33.46,24.2
25.66,0.75,34.17,24.2
25.68,0.83,36.5,24.2
25.71,0.86,36.1,24.19
25.59,0.61,31.58,24.13
25.5,0.44,29.61,24.06
25.46,0.33,28.31,23.97
25.42,0.26,27.46,24.18
25.42,0.22,27.0,24.15
25.41,0.2,26.57,24.14
25.41,0.18,26.49,24.02
25.4,0.18,26.4,24.11
25.39,0.17,26.24,24.12
25.38,0.16,26.17,24.14
25.35,0.15,26.09,24.06
25.34,0.14,26.07,24.04
25.32,0.14,26.06,24.13
25.32,0.13,26.05,24.11
25.3,0.13,26.06,24.11
25.29,0.13,26.01,24.05
25.25,0.13,26.01,24.11
25.25,0.13,25.96,24.02
25.22,0.12,25.99,24.01
25.26,0.12,26.01,24.05
25.25,0.12,25.95,24.06
25.3,0.12,25.99,24.04
25.32,0.12,26.04,24.17
25.33,0.13,26.11,24.08
25.31,0.13,26.07,24.15
25.32,0.13,26.05,24.05
25.32,0.14,27.14,24.08
25.34,0.18,28.0,24.14
25.41,0.31,31.5,24.12
25.46,0.4,32.13,24.08
25.53,0.56,34.81,24.19
25.56,0.69,35.54,24.14
25.59,0.71,33.98,24.04
